"iter","E21","E11","E22","E12"
11278,-853.502,-1923.9,-622.063,-1077.87
11279,-488.303,-1806.84,-627.381,-1219.48
11280,-467.423,-1721.69,-671.033,-1227.57
11281,-573.34,-1878.95,-681.914,-1155.24
11282,-300.896,-1910.11,-700.988,-1242.61
11283,-529.156,-1843.31,-745.071,-1328.89
11284,-912.923,-1939.73,-698.862,-1264.12
11285,-908.302,-1958.84,-663.318,-1308.64
11286,-529.807,-1934.68,-702.174,-1364.38
11287,-972.541,-1915.34,-700.429,-1233.44
11288,-1162.38,-1812.28,-712.719,-1218.6
11289,-963.501,-1748.61,-726.693,-1249.79
11290,-929.259,-1939.45,-579.339,-1147.01
11291,-1045.18,-1816.04,-642.433,-1211.04
11292,-902.093,-1743.3,-720.42,-1289.49
11293,-924.463,-1663.79,-698.769,-1210.19
11294,-942.5,-1668.45,-687.562,-1220.28
11295,-314.442,-1779.46,-750.647,-1302.84
11296,-360.264,-1894.8,-725.681,-1303.86
11297,-362.197,-1883.93,-741.81,-1252.54
11298,-594.781,-1753.03,-587.764,-1201.93
11299,-392.839,-1883.49,-524.869,-1178.63
11300,-357.18,-1842.23,-529.397,-1204.59
11301,-308.729,-1809.03,-453.99,-1194.89
11302,-389.241,-1922.15,-583.779,-1194.46
11303,-106.977,-1924.09,-788.786,-1269.66
11304,-308.732,-1853.23,-714.422,-1266.41
11305,-206.699,-1832.98,-149.997,-1256.66
11306,-379.271,-1832.56,-808.051,-1245.07
11307,-479.482,-1809.17,-749.368,-1230.38
11308,-686.556,-1782.7,-744.018,-1267.75
11309,-429.877,-1906.29,-660.876,-1035.77
11310,-516.661,-1853.27,-651.018,-1178.86
11311,-895.279,-1917.65,-434.104,-1302.21
11312,-882.867,-1876.17,-439.785,-1143.37
11313,-813.835,-1792.03,-616.015,-1246
11314,-831.103,-1697.37,-629.18,-1280.93
11315,-837.381,-1955.25,-584.949,-1237.42
11316,-901.983,-1819.61,-639.381,-1270.49
11317,-1002.8,-1814.21,-818.671,-1215.18
11318,-845.485,-1750.84,-811.105,-1147.28
11319,-929.235,-1683.01,-711.824,-1282.83
11320,-810.032,-1792.51,-666.258,-1353.58
11321,-786.807,-1788.3,-439.262,-1160.04
11322,-806.871,-1846.74,-438.56,-1134.14
11323,-980.249,-1707.04,-502.637,-1359.46
11324,-996.576,-1811.5,-579.91,-1282.87
11325,-981.968,-1897.96,-503.172,-1198.89
11326,-757.737,-1868.66,-539.672,-1267.24
11327,-738.983,-1878.88,-606.043,-1217.87
11328,-845.477,-1717.17,-663.625,-1301.51
11329,-835.432,-1685.59,-777.501,-1327.18
11330,-921.041,-1780.59,-686.439,-1266.12
11331,-926.504,-1948.08,-686.038,-1246.94
11332,-869.76,-1897.41,-607.46,-1236.3
11333,-745.586,-1868.73,-610.598,-1200.46
11334,-994.87,-1819.87,-626.253,-1235.37
11335,-801.477,-1633.3,-706.093,-1399.64
11336,-1083.27,-1792.01,-749.942,-1156.16
11337,-1144.41,-1849.01,-723.322,-1235.62
11338,-911.607,-1916.61,-679.105,-1197.14
11339,-272.451,-1826.39,-605.736,-1314.09
11340,-353.182,-1763.95,-702.149,-1262.91
