# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Noir Begin;Noir End;S4;S5;S6
11166;350,391747433555;596,305852327953;350,391747433555;350,537474038686;596,305852327953
11167;400,448676864638;611,624567235326;400,448676864638;432,224338856835;611,624567235326
11168;350,192166513811;472,537994843867;350,192166513811;411,528602861369;472,537994843867
11169;363,32966125303;607,210008186444;363,32966125303;372,975111483649;607,210008186444
11170;348,712434864495;581,339954331843;348,712434864495;396,904012372885;581,339954331843
11171;344,442393882478;593,410783353111;344,442393882478;346,167187973733;593,410783353111
11172;359,581717182634;581,06510930159;359,581717182634;457,716011962791;581,06510930159
11173;336,115934409689;655,032266657521;336,115934409689;435,971612235914;655,032266657521
11174;351,508496124363;635,195202298065;351,508496124363;431,416030181913;635,195202298065
11175;348,823555720523;685,12062646063;348,823555720523;424,400566041697;685,12062646063
11176;362,07075838461;556,035039694793;362,07075838461;373,885914639037;556,035039694793
11177;309,436767605189;674,405562683664;309,436767605189;395,057518148763;674,405562683664
11178;408,799917623885;697,787270477522;408,799917623885;423,173120704747;697,787270477522
11179;384,286627865089;570,660290578734;384,286627865089;391,270465087298;570,660290578734
11180;363,60353372271;610,626709317805;363,60353372271;411,401427890477;610,626709317805
11181;394,835425434578;603,422877177901;394,835425434578;450,325886661442;603,422877177901
11182;386,667428097463;617,329794853025;386,667428097463;411,384019191056;617,329794853025
11183;427,413616348046;549,501831429637;427,413616348046;433,305829144649;549,501831429637
11184;440,583285901025;634,121359925796;440,583285901025;442,355811437549;634,121359925796
11185;360,152856650907;518,08823297617;360,152856650907;433,206884885155;518,08823297617
11186;357,522004864376;517,312216589893;357,522004864376;417,277719307602;517,312216589893
11187;302,406667786633;599,42278142515;302,406667786633;452,758812708938;599,42278142515
11188;296,617103467134;591,163332979844;296,617103467134;350,90369033741;591,163332979844
11189;320,327638396797;544,91655201786;320,327638396797;414,210417712786;544,91655201786
11190;314,609345870679;624,054447509482;314,609345870679;355,262994294253;624,054447509482
11191;283,30259966692;588,304994081793;283,30259966692;398,126932002477;588,304994081793
11192;376,406802797332;598,933870254298;376,406802797332;437,869808253029;598,933870254298
11193;403,181014594263;634,508959626618;403,181014594263;408,736356527093;634,508959626618
11194;361,866274068465;648,103352758546;361,866274068465;377,790684643326;648,103352758546
11195;319,820165128612;602,140219709496;319,820165128612;414,883377647774;602,140219709496
11196;331,796272199502;592,260411315031;331,796272199502;368,960222144099;592,260411315031
11197;314,550878138642;647,561626893512;314,550878138642;337,674126625962;647,561626893512
11198;406,252335798851;588,344508089148;406,252335798851;406,927246796187;588,344508089148
11199;299,86165049265;575,737243130056;299,86165049265;391,309859469706;575,737243130056
11200;320,640689808953;580,448338952557;320,640689808953;419,00835219676;580,448338952557
11201;270,566386200456;641,15517276891;270,566386200456;431,612010540893;641,15517276891
11202;370,13088397526;647,232035794136;370,13088397526;437,089376138995;647,232035794136
11203;330,971020550827;636,057194612171;330,971020550827;425,10583890708;636,057194612171
11204;364,447773841268;632,542687761927;364,447773841268;391,719275887454;632,542687761927
11205;380,94904664678;580,234471509052;380,94904664678;447,972537239874;580,234471509052
11206;356,812798855498;557,058845556731;356,812798855498;378,373369576356;557,058845556731
11207;345,779037847651;605,417165100693;345,779037847651;404,970133996909;605,417165100693
11208;341,435416254042;567,037604491704;341,435416254042;387,627430954309;567,037604491704
11209;287,865076765999;637,114823739979;287,865076765999;391,71900704086;637,114823739979
11210;294,743246033792;650,13788654196;294,743246033792;378,440867320356;650,13788654196
11211;308,955020488094;695,167257912368;308,955020488094;388,548035715126;695,167257912368
11212;396,73130713752;586,623940434682;396,73130713752;430,782389244493;586,623940434682
11213;357,264159785835;572,572666943658;357,264159785835;389,371948085273;572,572666943658
11214;323,350098985407;617,982476760086;323,350098985407;386,46288791535;617,982476760086
11215;315,824825309308;577,772503200159;315,824825309308;418,465771700645;577,772503200159
11216;360,069002441749;593,380422881373;360,069002441749;405,677283239017;593,380422881373
11217;347,777193484535;608,282658610353;347,777193484535;413,383930731488;608,282658610353
11218;340,53521015276;638,483367620491;340,53521015276;439,605869927855;638,483367620491
11219;392,506706040746;638,177444302835;392,506706040746;482,956126221557;638,177444302835
11220;366,771529193991;575,957284848703;366,771529193991;445,242785417817;575,957284848703
11221;343,585585128237;668,361127712715;343,585585128237;431,73412972234;668,361127712715
11222;355,238253142019;602,382996318057;355,238253142019;408,544724744867;602,382996318057
11223;382,095918247067;613,587850744591;382,095918247067;418,846064654315;613,587850744591
11224;361,442213030583;599,00188777325;361,442213030583;431,916675526622;599,00188777325
11225;359,422635427888;619,025277668;359,422635427888;387,237838841624;619,025277668
11226;349,722685735757;684,144444896992;349,722685735757;410,729168324469;684,144444896992
11227;360,865754611352;601,051674439015;360,865754611352;453,831025013501;601,051674439015
11228;370,813267444699;666,248369762984;370,813267444699;379,346221411234;666,248369762984
11229;357,847736197788;739,908172785606;357,847736197788;424,6201664444;739,908172785606
11230;348,968746454134;638,514124938802;348,968746454134;450,258928812592;638,514124938802
11231;364,568764352918;617,499414036046;364,568764352918;448,353884890171;617,499414036046
11232;410,705689485477;634,122965679593;410,705689485477;612,801539712192;634,122965679593
11233;343,191991524155;642,925373561184;343,191991524155;373,545936252658;642,925373561184
11234;310,494969796889;643,26055573358;310,494969796889;435,821611394497;643,26055573358
11235;332,372997921159;625,933154813039;332,372997921159;426,404884532701;625,933154813039
11236;314,761885107673;632,8624505265;314,761885107673;416,166172655555;632,8624505265
11237;316,751802677628;619,049490790138;316,751802677628;404,038057630395;619,049490790138
11238;369,546279391344;635,602627057627;369,546279391344;423,680741899226;635,602627057627
11239;426,173602532445;596,215812216935;426,173602532445;433,45463100284;596,215812216935
11240;347,615769539875;653,519616276722;347,615769539875;384,135009141006;653,519616276722
11241;327,909470230688;567,820954276576;327,909470230688;401,893135572401;567,820954276576
11242;315,935285463423;592,402917509115;315,935285463423;394,181810641505;592,402917509115
11243;336,1516290631;659,48114284966;336,1516290631;434,59497784444;659,48114284966
11244;375,60113246281;566,900690730819;375,60113246281;389,696129914604;566,900690730819
11245;332,169092089556;622,846410553931;332,169092089556;438,284718705342;622,846410553931
11246;289,565371940973;639,424402675912;289,565371940973;388,374115193557;639,424402675912
11247;317,122022579301;628,425239935834;317,122022579301;449,978912781749;628,425239935834
11248;348,821283145335;591,280707829854;348,821283145335;426,220846159276;591,280707829854
11249;361,044185802849;633,167888916138;361,044185802849;453,59787538989;633,167888916138
11250;329,827034526381;619,822235400928;329,827034526381;417,294375006654;619,822235400928
11251;383,834861068122;459,050873548905;383,834861068122;394,301033229674;459,050873548905
11252;369,61120695238;561,912082686557;369,61120695238;499,599336064104;561,912082686557
11253;349,619687016182;578,588661380958;349,619687016182;351,098525121144;578,588661380958
11254;351,784828615224;585,828716300464;351,784828615224;438,52544184572;585,828716300464
11255;337,546045529934;600,508509202248;337,546045529934;446,079227817985;600,508509202248
