# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Blanc 2 Begin;Blanc 2 End;S7;S8;S9
11327;666,956541567591;914,079454134519;666,956541567591;813,546241919819;914,079454134519
11328;655,230691870302;899,98292912125;655,230691870302;858,52163110862;899,98292912125
11329;678,139147615304;932,117455388955;678,139147615304;884,1666718961;932,117455388955
11330;674,101724900502;998,173634432476;674,101724900502;788,918281804645;998,173634432476
11331;702,185802245297;969,711144931291;702,185802245297;762,509249505043;969,711144931291
11332;703,667556848931;895,742227485299;703,667556848931;818,5907100343;895,742227485299
11333;651,265329267836;881,954086067647;651,265329267836;815,060989818509;881,954086067647
11334;757,459829256763;973,725129017959;757,459829256763;880,859660592021;973,725129017959
11335;773,705876716286;951,568151305159;773,705876716286;880,112454056014;951,568151305159
11336;677,857138339869;899,184488366376;677,857138339869;867,391744862808;899,184488366376
11337;646,467589313997;894,125051789683;646,467589313997;783,457809555888;894,125051789683
11338;721,149790032474;890,608315728474;721,149790032474;816,500340540052;890,608315728474
11339;680,235226851111;917,602682980829;680,235226851111;852,552869756473;917,602682980829
11340;757,746402964888;874,361993478606;757,746402964888;782,672126753691;874,361993478606
11341;758,975694101781;831,170313468105;758,975694101781;798,73806186083;831,170313468105
11342;715,274537560851;911,112741610981;715,274537560851;811,134098442798;911,112741610981
11343;639,110849792612;902,762364824775;639,110849792612;812,135142137556;902,762364824775
11344;685,212580054169;897,700449155774;685,212580054169;794,183400253762;897,700449155774
11345;645,408998610926;824,196431524168;645,408998610926;762,131563808482;824,196431524168
11346;741,856831919068;888,045529118498;741,856831919068;823,548114643156;888,045529118498
11347;640,690691406242;891,199843067307;640,690691406242;823,297365094487;891,199843067307
11348;715,316440361762;890,621068723831;715,316440361762;835,23844661806;890,621068723831
11349;669,535473566398;908,900085660583;669,535473566398;764,054269963123;908,900085660583
11350;653,315342580958;924,370140613886;653,315342580958;833,763763258596;924,370140613886
11351;719,897109854915;894,408431053963;719,897109854915;805,112932350709;894,408431053963
11352;711,857644719414;858,409904055154;711,857644719414;792,638784053943;858,409904055154
